id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
132,-122.19,37.84,18,1617,210,533,194,11.9017,392900,NEAR BAY
133,-122.2,37.84,35,2865,460,1072,443,7.7882,319600,NEAR BAY
134,-122.21,37.83,34,5065,788,1627,766,7.1976,333600,NEAR BAY
135,-122.19,37.83,28,1326,184,463,190,8.5049,335500,NEAR BAY
136,-122.2,37.83,26,1589,223,542,211,8.701,351500,NEAR BAY
137,-122.19,37.83,29,1791,271,661,269,7.1538,369200,NEAR BAY
138,-122.19,37.82,32,1835,264,635,263,8.617,366200,NEAR BAY
139,-122.2,37.82,37,1229,181,420,176,7.3175,367000,NEAR BAY
140,-122.2,37.82,39,3770,534,1265,500,6.6302,363100,NEAR BAY
141,-122.18,37.81,30,292,38,126,52,6.6624,483600,NEAR BAY
142,-122.21,37.82,52,2375,333,813,350,7.3549,331700,NEAR BAY
143,-122.2,37.81,45,2964,436,1067,426,7.0851,323800,NEAR BAY
144,-122.21,37.8,50,2833,605,1260,552,3.1929,217000,NEAR BAY
145,-122.21,37.8,38,2254,535,951,487,3.3812,233400,NEAR BAY
146,-122.21,37.81,52,1389,212,510,224,5.5402,296700,NEAR BAY
147,-122.22,37.81,52,1971,335,765,308,6.8217,274000,NEAR BAY
148,-122.22,37.8,52,2183,465,1129,460,3.5632,228000,NEAR BAY
149,-122.22,37.8,52,2286,464,1073,441,3.3298,199900,NEAR BAY
150,-122.22,37.8,52,2721,541,1185,515,4.8428,240100,NEAR BAY
151,-122.22,37.81,52,2024,339,756,340,4.372,270400,NEAR BAY
152,-122.22,37.81,52,2944,536,1034,521,5.6509,302400,NEAR BAY
153,-122.23,37.8,52,2033,486,787,459,3.4603,269800,NEAR BAY
154,-122.23,37.81,52,1433,229,612,213,5.0708,315000,NEAR BAY
155,-122.22,37.81,52,2927,402,1021,380,8.4564,390400,NEAR BAY
156,-122.23,37.81,52,2315,292,861,258,9.1793,410600,NEAR BAY
157,-122.24,37.81,52,2485,313,953,327,7.1591,352700,NEAR BAY
158,-122.24,37.81,52,1490,238,634,256,6.3302,287600,NEAR BAY
159,-122.23,37.81,52,2814,365,878,352,7.808,349000,NEAR BAY
160,-122.24,37.81,52,2093,550,918,483,3.0477,244100,NEAR BAY
161,-122.24,37.8,52,888,168,360,175,2.4944,211800,NEAR BAY
162,-122.25,37.8,52,2087,510,1197,488,3.3149,218700,NEAR BAY
163,-122.24,37.81,52,2513,502,1048,518,3.975,270200,NEAR BAY
164,-122.25,37.81,46,3232,835,1373,747,3.525,219100,NEAR BAY
165,-122.25,37.8,42,4120,1065,1715,1015,3.2345,225300,NEAR BAY
166,-122.25,37.8,43,2364,792,1359,722,2.4429,250300,NEAR BAY
167,-122.25,37.8,41,1471,469,1062,413,1.9121,171700,NEAR BAY
168,-122.25,37.8,29,2468,864,1335,773,1.6929,194100,NEAR BAY
169,-122.24,37.79,27,1632,492,1171,429,2.6173,125300,NEAR BAY
170,-122.25,37.79,45,1786,526,1475,460,2.0772,97800,NEAR BAY
171,-122.25,37.79,50,629,188,742,196,2.9458,125300,NEAR BAY
172,-122.25,37.79,52,1339,391,1086,363,2.481,139100,NEAR BAY
173,-122.25,37.8,36,1678,606,1645,543,2.5303,117000,NEAR BAY
174,-122.25,37.8,43,2344,647,1710,644,1.9504,152100,NEAR BAY
175,-122.24,37.8,52,996,228,731,228,2.5697,127300,NEAR BAY
176,-122.24,37.8,52,1591,373,1118,347,2.4563,128900,NEAR BAY
177,-122.24,37.8,52,1586,398,1006,335,2.4348,140900,NEAR BAY
178,-122.24,37.8,47,2046,588,1213,554,2.9292,183000,NEAR BAY
179,-122.23,37.8,52,1192,289,772,257,2.6833,147200,NEAR BAY
180,-122.24,37.8,52,1803,420,1321,401,3.257,123100,NEAR BAY
181,-122.24,37.8,49,2838,749,1487,677,2.8238,169600,NEAR BAY
182,-122.23,37.8,52,783,184,488,186,2.2375,126900,NEAR BAY
183,-122.23,37.8,51,1590,414,949,392,2.2028,128200,NEAR BAY
184,-122.23,37.8,50,1746,480,1149,415,2.55,123800,NEAR BAY
185,-122.23,37.8,52,1252,299,844,280,2.6929,112200,NEAR BAY
186,-122.23,37.79,43,5963,1344,4367,1231,2.4917,113100,NEAR BAY
187,-122.23,37.79,52,1783,395,1659,412,3.2357,108200,NEAR BAY
188,-122.23,37.79,30,999,264,1011,263,2.1854,137800,NEAR BAY
189,-122.24,37.79,39,1469,431,1464,389,2.4638,105800,NEAR BAY
190,-122.24,37.79,47,1372,395,1237,303,2.425,95800,NEAR BAY
191,-122.24,37.79,52,674,180,647,168,3.675,116400,NEAR BAY
192,-122.24,37.79,43,1626,376,1284,357,2.5542,112500,NEAR BAY
193,-122.25,37.79,51,175,43,228,55,2.4,75300,NEAR BAY
194,-122.25,37.79,39,461,129,381,123,1.9,112800,NEAR BAY
195,-122.25,37.79,52,902,237,846,227,3.925,125300,NEAR BAY
196,-122.26,37.8,20,2373,779,1659,676,1.9929,115300,
197,-122.22,37.77,52,391,128,520,138,1.9471,95300,
198,-122.22,37.77,52,1137,301,866,259,2.89,96700,NEAR BAY
199,-122.23,37.77,52,769,206,612,183,2.87,72300,NEAR BAY
200,-122.23,37.78,52,472,146,415,126,2.9429,71600,NEAR BAY
201,-122.23,37.78,52,862,215,994,213,3.3257,81100,NEAR BAY
202,-122.22,37.78,50,1920,530,1525,477,1.7886,129100,NEAR BAY
203,-122.23,37.78,43,1420,472,1506,438,2.2338,112800,NEAR BAY
204,-122.23,37.78,52,986,258,1008,255,1.7844,119700,NEAR BAY
205,-122.23,37.78,44,2340,825,2813,751,1.9009,118400,NEAR BAY
206,-122.23,37.79,48,1696,396,1481,343,2.3375,122800,NEAR BAY
207,-122.23,37.79,49,1175,217,859,219,2.593,106600,NEAR BAY
208,-122.22,37.79,37,2343,574,1608,523,2.4494,132800,NEAR BAY
209,-122.23,37.79,30,610,145,425,140,1.9198,123000,NEAR BAY
210,-122.23,37.79,40,930,199,564,184,1.6281,113600,NEAR BAY
211,-122.22,37.79,44,1487,314,961,272,3.8156,109800,NEAR BAY
212,-122.22,37.79,52,3424,690,2273,685,4.2048,165000,NEAR BAY
213,-122.21,37.79,52,762,190,600,195,3.3893,125300,NEAR BAY
214,-122.22,37.79,46,2366,575,1647,527,2.9042,125000,NEAR BAY
215,-122.22,37.79,49,1826,450,1201,424,2.8,137000,NEAR BAY
216,-122.22,37.79,38,3049,711,2167,659,3.0969,142000,NEAR BAY
217,-122.2,37.79,29,1640,376,939,340,3.1321,150300,NEAR BAY
218,-122.21,37.79,47,1543,307,859,292,3.2583,139100,NEAR BAY
219,-122.21,37.79,34,2364,557,1517,516,3.1365,139500,NEAR BAY
220,-122.21,37.79,35,1745,409,1143,386,3.175,144100,NEAR BAY
221,-122.21,37.8,39,2003,500,1109,464,3.3682,156800,NEAR BAY
222,-122.21,37.8,39,2018,447,1221,446,3.3757,151300,NEAR BAY
223,-122.2,37.8,43,3045,499,1115,455,5.2559,273300,NEAR BAY
224,-122.2,37.8,52,1547,293,706,268,5.0721,217400,NEAR BAY
225,-122.21,37.8,52,3519,711,1883,706,3.7861,187400,NEAR BAY
226,-122.2,37.8,41,2070,354,804,340,5.4184,239900,NEAR BAY
227,-122.21,37.8,48,1321,263,506,252,4.3977,230000,NEAR BAY
228,-122.19,37.8,48,1694,259,610,238,5.044,257600,NEAR BAY
229,-122.19,37.8,46,1938,341,768,332,4.5727,247200,NEAR BAY
230,-122.19,37.79,50,968,195,462,184,3.2844,180200,NEAR BAY
231,-122.2,37.79,40,1060,256,667,235,4.4739,169900,NEAR BAY
232,-122.2,37.8,46,2041,405,1059,399,4.1487,203600,NEAR BAY
233,-122.19,37.8,52,1813,271,637,277,4.3114,263700,NEAR BAY
234,-122.19,37.79,45,2718,451,1106,454,4.9563,232100,NEAR BAY
235,-122.19,37.79,28,3144,761,1737,669,3.2297,140800,NEAR BAY
236,-122.2,37.79,35,1802,459,1009,390,2.6036,126300,NEAR BAY
237,-122.2,37.79,49,882,195,737,210,2.9667,122300,NEAR BAY
238,-122.2,37.79,44,1621,452,1354,491,2.919,135000,NEAR BAY
239,-122.21,37.79,45,2115,533,1530,474,2.7167,139700,NEAR BAY
240,-122.2,37.79,45,2021,528,1410,480,3.0788,115700,NEAR BAY
241,-122.21,37.78,46,2239,508,1390,569,3.0352,137600,NEAR BAY
242,-122.21,37.78,52,1477,300,1065,269,2.1472,137300,NEAR BAY
243,-122.21,37.78,52,1056,224,792,245,2.9583,142900,NEAR BAY
244,-122.21,37.78,49,898,244,779,245,3.3536,137800,NEAR BAY
245,-122.22,37.78,44,2968,710,2269,610,2.6906,112000,NEAR BAY
246,-122.21,37.78,43,1702,460,1227,407,2.0188,127100,NEAR BAY
247,-122.21,37.78,47,881,248,753,241,2.925,111600,NEAR BAY
248,-122.22,37.77,40,494,114,547,135,3.1015,115100,NEAR BAY
249,-122.22,37.78,50,1776,473,1807,440,2.0276,102600,NEAR BAY
250,-122.22,37.78,44,1678,514,1700,495,2.3801,132200,NEAR BAY
251,-122.22,37.78,51,1637,463,1543,393,2.789,119400,NEAR BAY
252,-122.21,37.76,52,1420,314,1085,300,2.0546,80900,NEAR BAY
253,-122.21,37.77,52,591,173,353,137,4.3904,80900,NEAR BAY
254,-122.21,37.77,52,745,153,473,149,2.9765,89100,NEAR BAY
255,-122.2,37.77,49,2272,498,1621,483,2.7338,102700,NEAR BAY
256,-122.21,37.77,46,1234,375,1183,354,2.6309,99000,NEAR BAY
257,-122.21,37.77,43,1017,328,836,277,2.5604,100300,NEAR BAY
258,-122.19,37.77,42,932,254,900,263,2.1039,92600,NEAR BAY
259,-122.2,37.77,39,2689,597,1888,537,2.5562,95100,NEAR BAY
260,-122.2,37.77,41,1547,415,1024,341,2.3562,102300,NEAR BAY
261,-122.2,37.78,52,2300,443,1225,423,3.8398,158700,NEAR BAY
262,-122.2,37.78,39,1752,399,1071,376,3.4167,121900,NEAR BAY
263,-122.2,37.78,50,1867,403,1128,378,2.8401,129400,NEAR BAY
264,-122.2,37.77,43,2430,502,1537,484,3.198,121700,NEAR BAY
265,-122.21,37.78,44,1729,414,1240,393,2.6125,103100,NEAR BAY
266,-122.19,37.78,52,1026,180,469,168,3.175,160300,NEAR BAY
267,-122.19,37.77,52,2170,428,1086,425,3.6715,144200,NEAR BAY
268,-122.19,37.77,52,2329,445,1144,417,3.8114,151500,NEAR BAY
269,-122.19,37.78,52,2492,415,1109,375,4.6125,164700,NEAR BAY
270,-122.19,37.78,52,2198,397,984,369,3.52,156800,NEAR BAY
271,-122.18,37.78,33,142,31,575,47,4.175,225300,NEAR BAY
272,-122.19,37.78,49,1183,205,496,209,5.5328,174500,NEAR BAY
273,-122.19,37.78,52,1070,193,555,190,4.0262,167200,NEAR BAY
274,-122.2,37.78,45,1766,332,869,327,4.8893,163800,NEAR BAY
275,-122.18,37.79,39,617,95,236,106,5.5578,253300,NEAR BAY
276,-122.18,37.79,41,1411,233,626,214,7.3875,241000,NEAR BAY
277,-122.18,37.79,46,2109,387,922,329,4.2712,208400,NEAR BAY
278,-122.19,37.79,47,1229,243,582,256,3.2514,198400,NEAR BAY
279,-122.19,37.79,50,954,217,546,201,2.9667,173100,NEAR BAY
280,-122.18,37.81,37,1643,262,620,266,5.7446,337000,NEAR BAY
281,-122.18,37.8,34,1355,195,442,195,6.5838,318500,NEAR BAY
282,-122.18,37.8,23,2317,336,955,328,7.0527,286100,NEAR BAY
283,-122.13,37.77,24,2459,317,916,324,7.3712,293300,NEAR BAY
284,-122.16,37.79,22,12842,2048,4985,1967,6.2849,371300,NEAR BAY
285,-122.17,37.78,42,1524,260,651,267,3.9875,157600,NEAR BAY
286,-122.17,37.77,30,3326,746,1704,703,3.175,135600,NEAR BAY
287,-122.18,37.78,43,1985,440,1085,407,3.7205,137000,NEAR BAY
288,-122.18,37.78,50,1642,322,713,284,3.5984,161000,NEAR BAY
289,-122.17,37.78,49,893,177,468,181,4.175,140900,NEAR BAY
290,-122.17,37.78,52,653,128,296,121,4.475,144300,NEAR BAY
291,-122.16,37.77,47,1256,,570,218,4.675,162200,NEAR BAY
292,-122.16,37.77,48,977,194,446,180,5.0708,156600,NEAR BAY
293,-122.16,37.77,45,2324,397,968,384,3.8739,176300,NEAR BAY
294,-122.16,37.77,39,1583,349,857,316,3.3958,146100,NEAR BAY
295,-122.17,37.77,39,1612,342,912,322,3.6958,142200,NEAR BAY
296,-122.17,37.77,31,2424,533,1360,452,2.171,91000,NEAR BAY
297,-122.17,37.76,41,1594,367,1074,355,2.2356,90900,NEAR BAY
298,-122.17,37.76,47,2118,413,965,382,2.4842,108200,NEAR BAY
299,-122.18,37.76,37,1575,358,933,320,2.5917,107300,NEAR BAY
300,-122.17,37.76,38,1764,397,987,354,2.7333,98500,NEAR BAY
301,-122.18,37.76,50,1187,261,907,246,2.2479,89800,NEAR BAY
302,-122.18,37.76,52,754,175,447,165,4.2063,94100,NEAR BAY
303,-122.18,37.76,49,2308,452,1299,451,2.1407,97000,NEAR BAY
304,-122.18,37.77,27,909,236,396,157,2.3786,97800,NEAR BAY
305,-122.18,37.77,42,1180,257,877,268,3.1125,97600,NEAR BAY
306,-122.18,37.76,43,2018,408,1111,367,2.1913,91500,NEAR BAY
307,-122.19,37.76,49,1368,282,790,269,2.0056,91700,NEAR BAY
308,-122.18,37.77,52,2744,547,1479,554,2.5768,96500,NEAR BAY
309,-122.18,37.77,51,2107,471,1173,438,3.5552,120400,NEAR BAY
310,-122.18,37.77,52,1748,362,1029,366,2.3556,100300,NEAR BAY
311,-122.19,37.76,52,2024,391,1030,350,2.7659,95000,NEAR BAY
312,-122.2,37.76,47,1116,259,826,279,2.05,86000,NEAR BAY
313,-122.19,37.77,41,2036,510,1412,454,2.3469,89600,NEAR BAY
314,-122.19,37.77,45,1852,393,1132,349,3.0159,101700,NEAR BAY
315,-122.19,37.76,41,921,207,522,159,1.5083,72800,NEAR BAY
316,-122.19,37.76,45,995,238,630,237,2.225,74400,NEAR BAY
317,-122.2,37.75,36,606,132,531,133,1.8809,70300,NEAR BAY
318,-122.2,37.76,37,2680,736,1925,667,1.7097,84900,NEAR BAY
319,-122.19,37.76,38,1493,370,1144,351,1.0683,82100,NEAR BAY
320,-122.19,37.75,19,2207,565,1481,520,1.6194,81700,NEAR BAY
321,-122.19,37.75,28,856,189,435,162,1.1012,82100,NEAR BAY
322,-122.19,37.76,26,1293,297,984,303,2.2479,86100,NEAR BAY
323,-122.19,37.74,36,847,212,567,159,1.4765,87400,NEAR BAY
324,-122.18,37.74,42,541,154,380,123,2.6456,83800,NEAR BAY
325,-122.19,37.73,44,1066,253,825,244,2.4538,80000,NEAR BAY
326,-122.19,37.74,43,707,147,417,155,2.8139,83700,NEAR BAY
327,-122.19,37.73,45,1528,291,801,287,1.5625,85000,NEAR BAY
328,-122.18,37.73,42,909,215,646,198,3.2063,80300,NEAR BAY
329,-122.18,37.73,43,1391,293,855,285,2.8192,76700,NEAR BAY
330,-122.18,37.73,44,548,119,435,136,2.4111,80000,NEAR BAY
331,-122.18,37.73,42,4074,874,2736,780,2.755,82700,NEAR BAY
332,-122.17,37.74,41,1613,445,1481,414,2.7028,98000,NEAR BAY
333,-122.17,37.74,47,463,134,327,137,2.45,97500,NEAR BAY
334,-122.17,37.74,43,818,193,494,179,2.7776,101900,NEAR BAY
335,-122.17,37.73,43,1473,371,1231,341,2.4587,86800,NEAR BAY
336,-122.18,37.74,35,504,126,323,109,2.1438,90800,NEAR BAY
337,-122.17,37.74,46,1026,226,749,225,3.3298,107900,NEAR BAY
338,-122.17,37.74,46,769,183,693,178,2.55,84500,NEAR BAY
339,-122.18,37.74,46,2103,391,1339,354,2.5467,89200,NEAR BAY
340,-122.18,37.75,45,330,76,282,80,4.3469,81000,NEAR BAY
341,-122.18,37.75,46,941,218,621,195,1.625,87400,NEAR BAY
342,-122.17,37.75,38,992,,732,259,1.9196,85400,NEAR BAY
343,-122.18,37.75,45,990,261,901,260,2.4731,82300,NEAR BAY
344,-122.19,37.75,36,1126,263,482,150,2.2167,83100,NEAR BAY
345,-122.18,37.75,43,1036,233,652,213,2.369,84900,NEAR BAY
346,-122.18,37.75,36,1047,214,651,166,2.012,82400,NEAR BAY
347,-122.17,37.76,33,1280,307,999,286,2.8625,89600,NEAR BAY
348,-122.17,37.75,43,1587,320,907,306,2.2821,98600,NEAR BAY
349,-122.17,37.75,41,1257,271,828,230,2.8043,92600,NEAR BAY
350,-122.17,37.75,44,1218,248,763,254,2.6281,89100,NEAR BAY
351,-122.17,37.75,48,1751,390,935,349,1.7375,90300,NEAR BAY
352,-122.16,37.76,45,2299,514,1437,484,2.8122,95800,NEAR BAY
353,-122.16,37.75,38,2457,624,1516,482,1.8625,92000,NEAR BAY
354,-122.17,37.75,47,998,211,597,185,3.4587,100700,NEAR BAY
355,-122.17,37.76,40,1685,343,949,342,2.1426,95100,NEAR BAY
356,-122.16,37.76,46,1827,307,881,302,4.9696,164600,NEAR BAY
357,-122.16,37.76,36,2781,574,1438,519,2.7598,155800,NEAR BAY
358,-122.15,37.76,39,1823,286,763,270,6.3749,197200,NEAR BAY
359,-122.14,37.77,27,2229,365,1297,355,5.1304,279400,NEAR BAY
360,-122.14,37.76,34,1513,231,545,211,5.8701,253100,NEAR BAY
361,-122.13,37.76,26,3266,491,1222,533,5.67,275700,NEAR BAY
362,-122.12,37.75,33,1809,261,808,219,7.16,250300,NEAR BAY
363,-122.12,37.75,28,794,111,329,109,7.9923,330100,NEAR BAY
364,-122.14,37.75,36,690,105,299,109,4.3313,195800,NEAR BAY
365,-122.14,37.75,33,1334,200,579,202,7.1323,256200,NEAR BAY
366,-122.13,37.75,30,414,54,137,50,5.275,311400,NEAR BAY
367,-122.13,37.75,36,768,93,229,93,5.6602,330300,NEAR BAY
